"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"I378"," 12.11418","-10.488608009"," -1.6919012"," 1.20251093"," 2.437368592","-0.113721831","-2.146401940","-1.122336628"," 1.65408760"," 1.555356550"," 0.569434954"," 0.835535508","-1.639348122"," 2.052949471","-0.25032354","-0.038039094","-0.295207533","-0.221519915"," 1.080318813","  0.911995165","-0.7797484903"," 0.083467328","-2.067838700","-0.989039274","  1.17114008","-0.042576541"," 1.712243204","-0.726982014"," 0.826081520","-1.927480439","-1.12986458","-0.75950310","-0.99881840","-0.95110174","-0.937758611","-1.237698107"," 1.011204294","-0.9308154075"," 1.29793423"," 2.09396294"," 0.55635781"," 0.1909321259"," 0.445323532"," 0.419985174"," 0.21524023"," 0.093347918"," 1.125820084"," 0.355903256"," 2.0061675753"," 0.056766588","-0.636087196"," 0.7667625277","-0.815833026"," 1.412082359","-0.28982803","-0.46780174"," 1.248630582"," 0.159480586"," 0.61192686","-1.14066230"
"I490"," 13.14143"," -0.007307809"," -2.0077212","-0.53434736"," 2.744355011","-0.842634101","-5.000274056"," 0.393167481","-0.32356584","-3.157186282","-1.774343293"," 1.869500029","-2.609645449","-0.746971345","-0.11000747"," 3.652901904"," 0.124164769","-0.239418577"," 1.033996892","  0.199445694","-1.9231610791","-1.712282987","-0.833428938","-0.398998020","  2.12898631","-1.106456451","-1.137246185"," 0.134292519","-2.989553092"," 1.354039940","-1.23167840","-1.21099946"," 2.95244189","-3.80943134"," 1.869130262","-1.289572794"," 3.868057814","-6.3565483101"," 6.08193452"," 4.22291072"," 4.59821014"," 5.4180041808","-0.062670459","-4.264784020"," 0.58086717","-4.627857494","-6.116983369","-3.051017331"," 4.6516802111","-0.664756631"," 1.014659926","-7.5695289532"," 2.443437579","-0.721792300","-1.88683792","-4.88074536"," 0.898260020","-3.232522518","-2.40189353"," 1.00204486"
"I422"," 14.24915"," -2.352974165","  3.1299000"," 0.49205878","-2.189350826","-2.112129957"," 0.578552027"," 1.777800113"," 1.58958631","-0.629340985","-1.310103577"," 3.208697235"," 1.834237888","-4.374921337"," 1.83496606","-1.376635591"," 1.022549572"," 0.922357003","-2.200412865","  0.503218066"," 0.8616696759"," 2.140359766"," 0.273762851","-1.241053551","  3.05658701","-1.635495459","-1.425891649"," 0.380987939"," 1.274429246"," 0.653806251","-1.35336572","-1.36402727"," 0.21457094"," 0.40045997"," 0.396390427"," 1.516874843"," 0.941972523","-1.3708301263","-2.48916686"," 1.15053529"," 0.02455692"," 2.7168472928"," 0.564176125","-1.458666512"," 0.46573925"," 3.634787152"," 1.712391301"," 0.381771332"," 1.7910451029","-0.203091092"," 1.237526451"," 0.7019815032"," 0.874402094"," 1.345499305"," 0.35886936","-1.06274519"," 2.149310402"," 0.459068024","-0.81002400"," 1.26587695"
"I029"," 13.85393","  0.650195624"," -4.8174909","-2.42888021"," 1.378011807","-5.336630601"," 5.559548266"," 1.122547671","-1.42822969"," 3.116830152","-2.082307036","-0.079378260","-0.287055938","-1.361130487"," 2.84106158"," 2.145239540","-3.306045866","-2.742959592"," 0.127657073","  0.371182590"," 4.5048274180","-2.798592773"," 0.100171743","-2.130469679","  2.88543600","-4.648833595","-0.419134624"," 0.016492349","-0.379960656","-0.915764974","-3.74012294","-2.02828032","-1.13355018"," 0.14034850","-0.598144730","-0.956339176","-1.705748869","-1.3321904880"," 2.64845953"," 1.82233405"," 0.26255233","-0.2395094022"," 2.024970325","-2.219144158"," 1.74893086","-0.407678670"," 3.817132508"," 1.371591808","-0.7050743772"," 2.467180968"," 2.239524592"," 2.0150747495"," 4.174341501","-0.487975006"," 0.56070487"," 1.78235222","-2.440524736"," 1.358255623","-0.16272583","-1.33710285"
"I460","-14.39391"," -1.594748594"," -1.7981803","-5.81344270","-0.166468559"," 0.300990232","-3.577498035"," 1.502607453"," 1.98831124"," 0.516000356"," 0.002378734"," 1.900374908","-1.364536719"," 1.039445965","-2.25582882","-1.674819273"," 0.320524487"," 1.824892921","-0.052835260"," -1.098974490","-0.8177551979"," 0.230524652","-0.392596851"," 0.252292288"," -0.32388358"," 0.245104919"," 0.507022541","-0.664311678","-1.869118733","-1.188943161"," 1.47500251","-1.99444645","-2.88036833"," 1.62335190","-2.513435847","-3.000740130","-0.001128679","-0.1070906088","-0.79297477"," 5.43198776"," 1.96402565","-2.5555375132","-4.347757004","-0.431319899","-1.46075380","-0.112202613"," 0.751670995","-1.018745740","-1.6718408251","-1.050679338"," 1.244674260"," 3.2227591337"," 1.259684249","-1.800420968","-1.70112080","-1.42624615"," 0.081994774"," 0.444049408","-1.65524158"," 2.85962979"
"I402","-14.69388","  2.315032970"," -0.7018701"," 1.51133360"," 3.755037057"," 1.814158900"," 0.707816554","-1.497842849","-0.75836715","-1.064856148"," 0.514779173","-1.396452458"," 2.144480068"," 0.840880944","-0.81646863","-0.407003703","-0.365691760"," 0.422255658"," 0.983233275"," -0.920324024"," 0.0193705669"," 0.207974298","-0.427989274","-0.505189614","  0.06533160"," 0.684819218"," 1.367980604","-0.591981280"," 1.226983311","-0.532702015"," 0.91361857"," 1.35871256"," 1.86872555","-2.41937907"," 0.544602122","-4.073845977"," 1.531795510","-1.1697310122"," 1.18527202"," 0.63933435"," 0.08674693"," 1.2577486840","-2.074739007","-2.044121484","-1.47401122"," 1.189799516"," 0.446422241"," 2.046174877"," 0.3313765351"," 0.890065002"," 0.244975313"," 0.3624629640"," 1.331593517"," 0.032620881","-2.72497517"," 0.29406696","-0.512769916"," 1.376362194"," 4.77461342"," 1.35740797"
"I109","-14.23722","-11.159965007","  3.1684161","-4.18189956","-0.785304870","-1.193356068"," 0.156317893","-0.860972991","-0.36505317"," 0.462767043"," 1.303886930","-0.907022193"," 0.538558638"," 0.135503915","-0.98871480","-0.117431696"," 0.386002649"," 1.270480460"," 0.602530582","  0.684721605"," 0.0204088438"," 0.094544608"," 0.289293574"," 0.285923213"," -0.77728989","-0.335390619"," 0.151694406"," 0.763498141","-0.712674949"," 0.452094757"," 1.13557764"," 0.02146426","-0.17058844"," 0.55575280"," 0.161685716","-0.418781912"," 0.991683979"," 0.8838842360","-0.39491629","-0.90724876"," 0.38722614","-0.0403332954"," 0.954617766","-0.008955880","-0.78708710"," 0.690882549","-0.534407265"," 0.995577383"," 1.0665383357","-0.824227609","-0.559600003","-0.1518220045","-0.395991412"," 0.146645419"," 0.48336425"," 0.24809332"," 1.986375683"," 0.177427259","-0.86020505","-0.75135059"
"I272"," 13.81374","  5.791035245"," -4.6551409"," 0.51017623"," 1.113486040","-3.233859715","-0.789228301","-1.996914574","-0.61140844","-1.829160339"," 1.326091152","-2.129998497"," 1.833919483","-0.774528913","-1.31677214"," 0.682922563"," 0.975038153"," 2.079814408"," 1.266349239","  0.515787213","-1.2482400143"," 1.087883536","-0.308127194","-0.630868938"," -0.16918377"," 0.025054418"," 0.100790783"," 0.761784107","-1.880582613"," 1.151019838","-1.24593419"," 0.73474692"," 0.56270147"," 0.21568608"," 1.187898593","-1.347882948"," 0.409590436"," 0.1105546615","-1.18991445"," 0.49153514"," 1.93112363"," 0.7423366825","-1.080327549","-0.005816652","-0.55968719"," 0.766466669","-0.007713904"," 0.326579657","-0.1994958655","-0.259261805","-0.866872541"," 0.7000724430","-2.135414256"," 1.497952816"," 1.16861216","-0.57403874"," 0.352774262"," 0.581591841","-2.45897072"," 0.24499145"
"I092","-14.91660","  3.268205787"," -8.2686912","-1.27549499"," 2.065165318","-2.247324086"," 0.008048443"," 1.237923253"," 4.09090479","-2.769200498"," 0.880908612","-0.624425708"," 3.686009281"," 2.043286231"," 2.88837032"," 9.843947079"," 3.044415915","-1.466654837","-3.771498250","  1.320578792"," 1.8466582680"," 0.988502088"," 2.403143534","-2.114844780"," -1.64853500"," 4.168312134"," 3.512069265"," 0.129970246"," 1.562032005"," 1.304207365"," 1.86354794","-1.26809982"," 0.75823549","-0.19244569"," 0.507130834","-0.744883725","-2.878014018","-1.8888139006"," 1.43370672"," 1.42991491"," 0.05555845","-1.9341787370"," 0.507893991"," 0.338893337"," 0.27591484","-0.774491772"," 0.067501273"," 0.327338219"," 0.0504054907","-1.132684022","-1.450840104"," 0.0152680833"," 0.571060819"," 0.786044181"," 0.27295590"," 0.65101180","-1.648443748","-0.483817296","-0.60584133"," 0.50385149"
"I535","-14.69495","  0.382235468","  3.1157436"," 7.28665150"," 0.281683254"," 3.128143399","-3.807566685"," 1.306921732","-1.44685815","-0.365851938"," 0.321683011","-0.541326820","-3.149067667"," 2.149245664"," 0.48436065"," 1.611848693"," 2.478124261"," 1.992290617","-1.708818578","  0.948848878"," 0.0755050629"," 0.832809101","-0.338513359","-1.378578507","  0.28104860","-0.372523668"," 1.267962530","-1.444805598"," 3.671213314","-1.460357143","-0.20715436","-2.76501584","-0.36652325","-2.41799739","-1.467778101","-2.718161100","-1.364339436"," 2.6067370478"," 0.20896210","-1.34791662","-0.32547171","-0.0605155331","-1.310034279"," 0.707480861"," 2.52755074"," 2.832049137","-0.952145103"," 0.858368117","-0.0930717317"," 1.925131287","-0.404175329"," 0.2011739743"," 2.729977266","-0.627667689"," 0.21104388","-0.41178471","-1.240149273"," 0.942673784","-0.54447146"," 0.43884930"
