"","Age"
"I378","48"
"I490","40"
"I422","45"
"I029","14"
"I460","45"
"I402","18"
"I109","49"
"I272","11"
"I092","15"
"I535","43"
"I583","14"
"I603","18"
"I592","15"
"I365","15"
"I212","42"
"I213","16"
"I465","43"
"I570","11"
"I441","18"
"I222","48"
"I312","16"
"I518","52"
"I234","51"
"I163","11"
"I053","14"
"I013","10"
"I600","51"
"I544","46"
"I496","16"
"I386","16"
"I176","14"
"I184","45"
"I589","59"
"I249","13"
"I271","10"
"I173","47"
"I324","45"
"I065","47"
"I260","53"
"I536","47"
"I533","10"
"I395","50"
"I170","16"
"I044","52"
"I372","47"
"I444","41"
"I114","47"
"I310","48"
"I493","16"
"I532","44"
"I390","10"
"I067","15"
"I151","15"
"I538","42"
"I516","14"
"I136","16"
"I321","15"
"I229","21"
"I560","19"
"I572","41"
"I077","42"
"I040","43"
"I088","18"
"I417","11"
"I571","16"
"I131","20"
"I034","38"
"I270","17"
"I225","40"
"I010","46"
"I198","13"
"I552","51"
"I078","16"
"I609","45"
"I573","43"
"I595","10"
"I478","39"
"I007","20"
"I025","14"
"I475","16"
"I289","42"
"I461","18"
"I111","48"
"I041","40"
"I207","19"
"I379","57"
"I052","42"
"I069","45"
"I266","12"
"I060","20"
"I319","45"
"I432","48"
"I279","55"
"I262","19"
"I377","46"
"I141","49"
"I323","16"
"I147","44"
"I354","45"
"I280","14"
"I182","51"
"I190","45"
"I311","58"
"I110","20"
"I504","46"
"I254","45"
"I230","50"
"I376","15"
"I454","52"
"I035","19"
"I096","48"
"I115","14"
"I382","45"
"I443","18"
"I481","56"
"I045","51"
"I267","34"
"I255","17"
"I492","18"
"I244","41"
"I507","46"
"I009","40"
"I152","42"
"I445","17"
"I389","19"
"I514","48"
"I458","54"
"I117","18"
"I171","16"
"I071","48"
"I257","48"
"I515","16"
"I187","19"
"I403","46"
"I434","18"
"I326","46"
"I451","15"
"I020","11"
"I159","40"
"I349","43"
"I098","41"
"I175","51"
"I282","50"
"I118","10"
"I263","15"
"I383","17"
"I148","52"
"I002","43"
"I087","47"
"I479","43"
"I531","13"
"I373","14"
"I302","43"
"I205","10"
"I274","54"
"I342","19"
"I269","14"
"I039","46"
"I380","15"
"I224","37"
"I287","14"
"I412","60"
"I407","19"
"I107","18"
"I091","40"
"I130","15"
"I188","45"
"I023","16"
"I291","49"
"I016","43"
"I338","18"
"I146","15"
"I268","38"
"I371","14"
"I304","37"
"I473","16"
"I094","43"
"I296","51"
"I227","17"
"I095","47"
"I585","41"
"I522","53"
"I066","15"
"I315","49"
"I183","50"
"I022","51"
"I430","47"
"I512","75"
"I513","41"
"I127","15"
"I132","44"
"I448","11"
"I525","48"
"I298","38"
"I243","14"
"I502","17"
"I537","21"
"I523","47"
"I167","53"
"I058","19"
"I363","18"
"I469","43"
"I608","48"
"I420","17"
