"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"I004"," 13.92516","  6.165482582"," -0.6297679"," 2.17861648"," 3.461629026","-1.884552367"," 0.737608245","-2.994874521"," 1.17380300"," 2.358188119"," 1.384902254"," 0.267523266"," 0.449871419"," 0.396891302"," 0.16755612"," 0.765823028"," 0.994016116"," 0.465192004"," 1.277924198","  3.086746479"," 0.0002639298"," 0.985612051","-1.115877619","-1.779537202"," -0.59287451","-0.767407451"," 1.346296192","-0.348383239","-1.063529230"," 3.567677385","-2.54905897"," 0.28336322","-4.33513290","-0.11470641","-3.145926849"," 1.247268560"," 0.855084008"," 0.5068776685","-1.39340226"," 1.45182668"," 0.47681581"," 0.6377663823"," 1.385117017"," 1.818681064","-0.81824760","-0.946722151","-0.732046652","-1.959177500"," 1.6911208084","-2.250550578","-0.297325841","-0.3290556876","-1.248486742","-1.507417083","-2.58041359"," 3.70770022"," 0.022429034"," 3.454236631"," 0.86850659","-1.84033554"
"I006","-13.90853","  2.035626479","  8.3693046","-3.21956478"," 0.103764910"," 1.203211528","-0.384764476","-5.011799858","-1.03299973","-2.054228023","-1.044906392","-0.747044182"," 0.355855182","-0.076284703"," 1.59989975","-1.039606843","-1.692415813","-5.362286927","-0.161131360"," -0.761711222","-0.2041861122","-1.161736431","-0.542733515","-0.346535900"," -0.71230901","-0.644693273","-0.258564347","-0.115246702"," 0.624937507","-1.411897379","-1.07660429"," 1.03060617","-0.66284066","-0.21018912"," 0.350440272"," 0.510949761","-1.023681554"," 1.1416140314","-0.59623661"," 0.36208338","-0.12105566","-0.6084724843"," 0.079946278","-1.111456152"," 0.96910231"," 1.902391817","-1.178365711","-1.517262018"," 0.9717852684"," 0.203787068"," 0.365631763","-2.0860383023"," 0.610689290"," 0.575244552"," 1.26969992","-1.05049544","-0.619510509","-0.402780112","-0.25250358"," 3.46739114"
"I024"," 13.03912","-10.317586773","  2.5077848","-0.39213726"," 0.071039783"," 0.934127928"," 2.898878001","-1.239178637"," 2.54161664"," 0.464315092"," 0.190468343"," 0.373504215"," 0.195253022","-0.543667686","-1.39401650","-1.061106050","-1.576725765","-0.654804987"," 0.641043873","  0.090974080"," 0.9295198405","-0.334903254","-0.226289195","-0.682462765","  0.61448538"," 0.327276278"," 0.011236634"," 0.922915143"," 0.492184157","-0.589220812"," 1.33102220"," 0.80410556"," 0.15543722"," 0.41695893","-1.517175520","-0.606062627","-1.625026325","-1.0739001441","-0.55200379"," 0.72231539"," 0.07803329"," 0.6877721403","-0.150887928","-1.512987133"," 0.03350731"," 0.241640588"," 0.258396832","-0.642497619","-0.4271060154"," 0.009476809"," 1.293038077","-2.1186259052","-0.930493252"," 0.216766434","-0.67233364","-0.10825097","-2.462992602"," 0.263393842"," 0.58206356"," 1.44292992"
"I032","-14.37521","  1.698996748"," -7.3175464"," 0.48382305","-0.994670504","-2.029091403"," 0.095913607","-0.195117506","-0.28935486","-0.696381683"," 0.300690413","-1.330830209","-0.365975359","-1.807512708","-1.12057090","-0.437245589","-0.289050831","-0.076978104"," 0.111769026"," -0.721019380"," 0.3090863961","-0.869497100","-0.245634317"," 0.223212359"," -0.80671019"," 0.347118364","-0.184679515"," 1.055634513","-0.627267654","-0.341036455","-0.48752070"," 0.59740069","-0.70501425"," 0.04974620"," 0.849785970"," 1.493026143","-0.192209661","-0.2268286482"," 0.27506478","-0.04444817"," 0.65600880"," 0.5245041727"," 0.643737766"," 0.297473095"," 1.94044475","-0.466427426"," 1.302276825","-0.088731015","-0.0192092455"," 0.892247950","-0.303951931"," 0.3495617902"," 0.050219575","-0.471409705"," 0.40632083","-0.87606941","-0.206013473"," 0.954111130","-0.97015339"," 0.87785099"
"I037","-14.30382"," -6.688493850"," -3.7777031"," 0.13103084","-0.557707635","-3.439013166"," 0.479638034","-0.898330572","-0.79225630","-0.891649335","-3.246613746","-4.584819094","-1.606483385","-0.494111478","-3.96550534"," 0.821915989"," 2.335346292","-2.258359817","-1.062133673"," -6.065000193","-0.2591654153"," 1.714014399","-1.631703189"," 0.544814566"," -2.49265387","-0.459593206","-2.168790968"," 0.564283723"," 5.955985622"," 1.441452329","-1.81614317","-4.18518932"," 0.71301808","-0.21030437","-0.615086955"," 0.637260611"," 0.311815940"," 0.1319837150"," 0.55910641","-0.24819510"," 0.56915827"," 1.9375250466","-0.011968148","-0.686019095","-0.40539896","-1.007091504"," 1.013439517","-0.808950419","-0.1161608562","-0.412285976","-0.573038418"," 0.3629397173","-0.828496339","-1.358850410","-0.52547901","-0.39243189","-1.753432942"," 0.747800721"," 0.44494971","-1.52286378"
"I038","-14.22274"," -6.343887487"," -5.9244496"," 0.15781332","-1.485800617","-2.702150139"," 2.373683261"," 1.273181634"," 7.50316448","-2.350628425"," 2.432424268","-0.843740701"," 3.563720600"," 0.386620800"," 2.40492024"," 8.247557394"," 2.535219231","-2.943931550","-3.297574332","  1.120431511"," 0.4921468598"," 0.030141107"," 0.732477028","-1.022598792"," -1.77911325"," 4.095210154"," 3.657369161"," 0.420241379"," 2.391772804"," 1.259312481"," 1.77036048"," 0.21382291"," 1.20998247"," 0.25654136"," 0.871411008"," 0.120149314","-1.737782944","-1.0977732453"," 1.29859769"," 0.11414699"," 0.45106083","-0.6170319449"," 0.632967807","-0.246656136"," 0.56216307"," 0.642499302"," 0.431709681"," 0.234777653"," 0.4128624155","-0.868597035","-0.939344321"," 0.0169635539","-0.263395151"," 0.221102594"," 0.54802971"," 0.11269728","-0.729617255"," 0.046465254","-1.05460296"," 1.07088042"
"I056"," 15.07191","  0.194804295"," -1.0768703","-2.58116961"," 0.015291372"," 1.366292677"," 3.157368708"," 4.359770599","-0.04152263","-2.611792466","-2.365853422","-0.404191565","-3.421635036","-0.323541697"," 0.81779847","-0.121156243","-0.825180474"," 0.173197615"," 1.189312104","  1.169077745"," 1.1858926566"," 2.661389117"," 0.351244985","-1.432002438","  0.56371703"," 1.458596428"," 0.177819887","-0.594665441"," 0.392894856","-2.055506071","-0.97076235","-2.13084538"," 0.40854770","-0.97924074"," 1.002213183"," 1.381094328","-0.437894320","-1.2338686901","-0.57180448","-0.68592290","-3.00108250","-0.6329460176"," 0.149273150"," 2.657344322","-0.61365219","-0.826771280","-3.036566287","-0.432686362","-1.3286562991","-0.282364050","-1.199840751","-1.7805457507","-1.886263979","-1.366740969","-0.68581173"," 1.95675893","-3.339745090","-0.706331951","-3.49704955","-2.68084632"
"I057"," 15.07534","  3.695665209","  3.0112333","-2.50117167","-3.164185250","-2.366286232"," 0.970674459"," 2.967340042","-0.09298081","-2.456321338","-0.063569500","-1.174792032","-0.487965296","-1.269741856","-1.71711384"," 1.524514187","-0.897126866","-0.963061020"," 0.489194359"," -1.668255512"," 0.6041889147","-0.292343297","-0.274868317"," 1.435691492","  0.61483785"," 0.171907550","-0.536057672"," 0.065721553","-0.741347975","-0.730179391","-2.40518045"," 1.92651402"," 1.91431378"," 0.28950912"," 1.011056376","-3.045324567"," 1.018442540","-1.5982704253","-2.37839437","-0.06962986","-0.87608131","-0.0264616271"," 0.963393925"," 4.313294009","-1.27400038","-0.470873749","-3.873299782"," 0.725929927","-0.5151284949"," 0.822898858"," 1.161807971"," 0.4775970574","-0.253086578","-2.448712900"," 1.17095222"," 3.09731386"," 3.737657454","-0.730487945","-0.45809289"," 0.14877112"
"I063"," 14.34816","  3.788696305"," -6.6262942"," 0.63263265","-2.519032677"," 1.318751047"," 1.694425072"," 1.838709739"," 2.21243443","-0.261083810","-0.164219497","-1.247148813","-2.279650320","-0.584410831","-1.32797531","-0.098899308","-0.448274597","-1.453624854"," 1.242625954","  0.429638508","-1.1841994202"," 0.435833415"," 0.509606053"," 0.264874995","  0.72255978","-0.055131178","-0.833717640"," 0.484236365"," 0.764839207","-0.407309514"," 0.00344400"," 0.49454413"," 0.34152625"," 0.69761774"," 1.552751319"," 0.245150148","-0.337970371","-0.1144431344"," 1.44517076","-0.85258345","-0.39267909"," 0.6519603021"," 0.852052638"," 0.858489003"," 1.58569798"," 1.237994055","-0.408119844"," 1.508324155","-0.0005429247"," 0.339438130"," 0.088997040"," 0.7842759180"," 0.050353634","-0.993279504"," 0.52048237"," 0.94515246"," 0.286444379","-0.185489365","-1.95973296","-1.91476581"
"I075"," 15.19305"," -1.802995569","  0.3449557","-1.68896216","-6.435166884","-2.496139063"," 2.307057047"," 4.831732836","-2.71815334","-2.116107391","-1.472030366","-1.865481843","-0.275564056","-4.111805371","-0.62670411"," 2.432707634","-0.120808865"," 0.750796583"," 0.835861820"," -2.203402566"," 0.7117872748"," 0.710710899"," 0.918757960","-0.925648568"," -0.65667432","-0.373916374"," 1.355450994"," 0.747235069","-3.311988950","-0.674545898","-0.30907908","-2.36023158"," 1.36458657","-0.19707201","-1.991752641","-1.336738303"," 0.188855772"," 0.7400815806"," 0.45750686","-1.21811238","-2.38554107"," 1.5869944327","-1.272175298","-0.178791208"," 0.64513127"," 2.645955884","-2.313667091","-1.628162056"," 1.8532014709","-1.273683953"," 0.559716570","-0.0872090872","-1.510495069"," 2.912505000"," 2.60654093","-0.26727051","-2.593675135","-2.631190829","-0.50948180"," 0.52408755"
