"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"I004","-10.092709","-1.0981978","-0.1228723437","-0.6884781","-0.054560557","-0.268143912","-0.558750221"," 0.0036871844"," 0.1169959300","-1.1369237","-0.356294674"," 0.601196093"," 1.3741089"," 1.2028162"," 2.1955174"," 0.5651265"
"I006"," 10.403378"," 0.6549275","-0.1627020131"," 0.7880050"," 0.349700910"," 0.028626538"," 0.351788281","-0.3678955453","-0.4118024021"," 0.8091787","-0.629841704","-0.098961804","-0.9234691","-0.6038492","-1.3523531","-0.7681922"
"I024","-10.389096","-0.5533379"," 0.9643158608","-0.8048477","-0.736826269"," 0.335500760","-0.312116332"," 0.4529194694"," 0.5558299055","-1.1467667"," 0.748546077","-0.976480512"," 0.8017015"," 0.8669692"," 1.1571533"," 0.7033554"
"I032"," 11.419815"," 1.0636695","-0.4972575032"," 0.8285075"," 0.172251693"," 0.092071868"," 0.373151641","-0.0981707317","-0.2807385325"," 1.6840209"," 0.258822346","-0.009273483","-1.6468214","-1.3913699","-2.3146375","-0.5099365"
"I037"," 11.017740"," 0.8658830","-0.3313415009"," 1.0482974"," 0.458850962"," 0.158165441"," 0.722425770","-0.0499582950"," 0.0820797161"," 1.1076227"," 0.360166386"," 0.184310128","-1.2790912","-1.5005572","-2.2743924","-0.4205343"
"I038"," 11.133081"," 1.0415355","-0.3957607587"," 0.9048877"," 0.431689000"," 0.068111577"," 0.679797273","-0.0169089665","-0.0180257568"," 1.2839858"," 0.414716844"," 0.054719440","-1.4880487","-1.4677380","-2.3746567","-0.3844364"
"I056","-10.002663","-0.8058536"," 0.2695282075","-0.8764324"," 0.106200223","-0.190151917","-0.180080549","-0.0077521988"," 0.0027194259","-1.0508828","-0.383301886","-0.063341742"," 1.2135414"," 1.1201577"," 1.8777908"," 0.1778284"
"I057"," -9.946819","-0.6728197"," 0.0284866041","-0.8194654","-0.384024280"," 0.030091738","-0.739055335","-0.0063096291"," 0.2737916745","-1.3024135"," 0.354385793"," 0.118713250"," 1.3404212"," 1.2675609"," 2.1493346"," 0.5827379"
"I063","-10.212556","-0.8768815"," 0.3090070108","-0.7470805"," 0.036903310","-0.345651043","-0.120530855"," 0.1075704113","-0.0801888968","-0.9352291","-0.652708106"," 0.122833952"," 1.4063341"," 1.0915611"," 2.0066747"," 0.2619795"
"I075","-10.135268","-0.6019641"," 0.4013780534","-0.7546086","-0.577949419"," 0.124393749","-0.626956728"," 0.2097878469"," 0.3692830188","-1.2335217"," 0.504241992","-0.227507610"," 1.2323000"," 1.1421971"," 1.8679599"," 0.6481107"
"I097"," 10.391643"," 0.6767180","-0.2437964087"," 0.8030867"," 0.244152879"," 0.138919536"," 0.390384743","-0.3287058095","-0.4033191406"," 0.7621542","-0.606811488","-0.083511324","-1.0562617","-0.6918806","-1.2436538","-0.7310930"
"I119","-10.165444","-0.6943682"," 0.1670014251","-0.6783631","-0.457962039"," 0.101158794","-0.751822049"," 0.1746826706"," 0.3228190281","-1.3220467"," 0.458575965"," 0.096265322"," 1.2703865"," 1.1864682"," 2.0449066"," 0.6489264"
"I135"," 10.881180"," 0.7315681","-0.2257538409"," 1.1704196"," 0.557617944"," 0.212824421"," 0.939738664","-0.0403486737"," 0.2429379773"," 0.8460405"," 0.424739490"," 0.218969590","-1.1791173","-1.5763784","-2.2740031","-0.4355910"
"I143"," 10.399216"," 0.7825208","-0.3444012525"," 0.6819494"," 0.134476805"," 0.066672133"," 0.216983796","-0.3070973877","-0.6274977909"," 0.8838282","-0.872676075","-0.155462377","-1.0892181","-0.4299451","-1.1162681","-0.9255788"
"I185"," -9.837309","-0.7948641"," 0.1172679722","-0.9484628"," 0.096819101","-0.177496867","-0.250477225","-0.1440018648"," 0.0185625175","-1.0857992","-0.345091312"," 0.042475276"," 1.2688482"," 1.2138990"," 2.0120968"," 0.1925669"
"I201"," 11.452797"," 1.0913465","-0.5831113894"," 0.7041202","-0.053564790"," 0.047926920"," 0.210821880","-0.1140177305","-0.6380481937"," 1.9953952","-0.052954304","-0.081196697","-1.7914968","-1.1795035","-2.1353198","-0.7056189"
"I228","-10.472920","-0.5472244"," 0.8987931304","-0.7423048","-0.776837369"," 0.300107187","-0.443107488"," 0.5287432810"," 0.5357531956","-1.1462626"," 0.804939755","-0.772698424"," 0.9339371"," 0.8820252"," 1.2330963"," 0.7365379"
"I237"," 11.176269"," 0.9318331","-0.4256110621"," 1.0603732"," 0.365398310"," 0.214359571"," 0.710789141"," 0.0487511061"," 0.0992108538"," 1.3127202"," 0.568368514"," 0.232932671","-1.4379387","-1.6730103","-2.4658518","-0.4000954"
"I251","-10.408459","-0.5301341"," 0.7354916167","-0.7092020","-0.761512997"," 0.265918078","-0.575209522"," 0.4632946850"," 0.4785648905","-1.2102049"," 0.787747697","-0.522004311"," 1.0708098"," 0.9905834"," 1.4867916"," 0.7454213"
"I253"," 11.357427"," 1.0353535","-0.5119052819"," 0.8261574"," 0.115669498"," 0.065047201"," 0.259229124","-0.0794290133","-0.4925885746"," 1.7878871","-0.027741541"," 0.049327204","-1.5688489","-1.1927158","-2.1482031","-0.5408310"
"I273","-10.017186","-1.0062695","-0.2747258842","-0.6866670","-0.067888371","-0.231639893","-0.674725694","-0.0667502747"," 0.0812907732","-1.2406641","-0.249830786"," 0.720596971"," 1.4464444"," 1.2999021"," 2.4192936"," 0.5516465"
"I284"," 10.885277"," 0.9368574","-0.4413423572"," 0.7740241"," 0.323759434"," 0.052246033"," 0.297655471","-0.1643501088","-0.2792800024"," 1.1570803","-0.223987041"," 0.062926315","-1.1472144","-0.9564732","-1.7485935","-0.6269624"
"I286","-10.032240","-0.9555399","-0.2435898261","-0.6159169","-0.125322171","-0.132952130","-0.740284380","-0.0244585336"," 0.1055850101","-1.2762231","-0.119737755"," 0.759453289"," 1.4506004"," 1.3575891"," 2.4449934"," 0.5652254"
"I294"," 10.440030"," 0.8035960","-0.3323146683"," 0.7018741"," 0.307556711"," 0.057739544"," 0.311296112","-0.2863705734","-0.4116623143"," 0.7280696","-0.697834767","-0.053550979","-0.9045600","-0.5820581","-1.2405201","-0.8886132"
"I306","-10.033361","-1.0859806"," 0.4176012280","-0.7823616","-0.043553319","-0.281996038"," 0.065551111"," 0.0837927883"," 0.1435546536","-0.8249804","-0.587782182","-0.061708283"," 1.0407998"," 0.9854975"," 1.5495854"," 0.2775963"
"I317"," 10.309514"," 0.7092813","-0.1935427102"," 0.7128131"," 0.208925801"," 0.027832819"," 0.259387865","-0.3586635573","-0.5560963149"," 0.8838562","-0.823598428","-0.148274732","-0.9838014","-0.4984892","-1.2035071","-0.8274128"
"I341"," -9.926560","-0.8067375"," 0.2451592017","-0.8692289"," 0.134746869","-0.153641247","-0.149131467","-0.0741302611","-0.0106946561","-1.0447419","-0.429580206","-0.013156894"," 1.2404960"," 1.1896162"," 1.9493852"," 0.1440070"
"I347","-10.027722","-0.6397055"," 0.0271251845","-0.7380031","-0.534102631"," 0.117008317","-0.903311109"," 0.0785194436"," 0.3604551569","-1.4108942"," 0.574049632"," 0.193496111"," 1.3193986"," 1.2864668"," 2.1808491"," 0.6497083"
"I350"," 10.525053"," 0.8140985","-0.1444181161"," 0.9842383"," 0.675499006"," 0.090354555"," 1.066829067","-0.0456057095"," 0.2909917215"," 0.7000208"," 0.565278287"," 0.098397611","-1.1692808","-1.5597193","-2.3402301","-0.2951306"
"I391","-10.427030","-0.5134803"," 1.0375694458","-0.8301819","-0.816349371"," 0.311256867","-0.308193660"," 0.5549812347"," 0.5336569848","-1.0522203"," 0.807289829","-0.939606208"," 0.8506588"," 0.8267714"," 1.0615309"," 0.6953826"
"I394","-10.426125","-0.6497072"," 0.8785181225","-0.7617125","-0.596486504"," 0.234256441","-0.330249777"," 0.4267194702"," 0.5267781636","-1.1317113"," 0.544977878","-0.829178086"," 0.8635412"," 0.8514392"," 1.2235572"," 0.6953573"
"I413","-10.261072","-0.6045872"," 0.0212738635","-0.4833820","-0.621441792"," 0.110241667","-0.978240465"," 0.2261325680"," 0.3117896278","-1.4503968"," 0.603924502"," 0.386632260"," 1.4068951"," 1.2288894"," 2.3568742"," 0.7798089"
"I418","-10.500009","-0.6079551"," 0.9114196189","-0.7216066","-0.849878830"," 0.197487714","-0.440328858"," 0.6466928085"," 0.5791327534","-1.0219915"," 0.749525525","-0.668409773"," 0.9792056"," 0.7785939"," 1.1077405"," 0.7838888"
"I421","-10.234090","-0.7660338"," 0.4794321190","-0.9836331","-0.310157523","-0.231462358","-0.235213305"," 0.2112763355"," 0.2083384606","-1.0665301"," 0.044385302","-0.254495141"," 0.9761266"," 0.7530126"," 1.4397463"," 0.3284651"
"I429"," 11.036619"," 0.8903922","-0.2748065769"," 0.6900038"," 0.168939384","-0.064103241"," 0.200879747","-0.2582086157","-0.6330084310"," 1.6137344","-0.447238459","-0.076418320","-1.3586937","-0.8644436","-1.8294194","-0.5925225"
"I439","-10.198070","-0.5678081"," 0.0568912309","-0.5675199","-0.655699197"," 0.168792241","-0.985201129"," 0.2002072971"," 0.3637544932","-1.4535550"," 0.702344147"," 0.264027360"," 1.3693884"," 1.2692530"," 2.2819954"," 0.7574679"
"I442"," 10.716234"," 0.6698778","-0.2347312859"," 0.9122890"," 0.534981267"," 0.016215242"," 0.318227257","-0.2962816490","-0.1919830156"," 0.9096075","-0.390499846"," 0.058284163","-0.9267908","-0.8004835","-1.6399929","-0.6688566"
