"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"I378","-10.513492","-0.6079724"," 1.0400718788","-0.7179273","-0.727007554"," 0.253115949","-0.266668832"," 0.5796170507"," 0.5322333194","-1.0621008"," 0.646914441","-0.864013824"," 0.8478020"," 0.7789172"," 1.0533230"," 0.6941602"
"I490","-10.002989","-1.1177455"," 0.0219395882","-1.0860548"," 0.112800987","-0.393785333","-0.380895979","-0.1537965965"," 0.1712074718","-0.9739087","-0.540306374"," 0.012101553"," 1.2415454"," 0.9766049"," 1.7812545"," 0.4229440"
"I422","-10.348517","-0.4766896"," 0.5396368110","-0.7569785","-0.745730150"," 0.226252728","-0.807536183"," 0.3877411710"," 0.4134367778","-1.2772822"," 0.778295540","-0.287642841"," 1.2784922"," 1.1128212"," 1.7977903"," 0.7888496"
"I029","-10.163775","-1.0739189"," 0.1988525100","-0.9084403"," 0.020109147","-0.263216377","-0.390637730"," 0.0284240818"," 0.1757221674","-0.9761755","-0.423226722"," 0.027917334"," 1.2519535"," 1.0003410"," 1.7308920"," 0.4439227"
"I460"," 10.893236"," 0.8581129","-0.4878667495"," 0.9869165"," 0.537688372"," 0.157136855"," 0.416191757","-0.1258361885"," 0.0418085194"," 0.7916462","-0.054836916"," 0.130273027","-1.0107277","-1.0313343","-1.7562978","-0.6878106"
"I402"," 10.922117"," 0.9071212","-0.3673065242"," 0.6228549"," 0.125793611","-0.004935433"," 0.238863992","-0.2859086666","-0.5465107743"," 1.3547503","-0.317575725","-0.009035932","-1.3048759","-1.0142459","-1.7560686","-0.5569422"
"I109"," 10.671935"," 0.7740446","-0.1807488166"," 1.1512329"," 0.662235567"," 0.158863996"," 1.066620724","-0.0172901586"," 0.3371700893"," 0.7494013"," 0.535201640"," 0.149295958","-1.1916729","-1.5518560","-2.3143703","-0.3951821"
"I272","-10.043224","-1.1435074","-0.1133313942","-0.9214765"," 0.081106847","-0.413277919","-0.404587913","-0.0678128917"," 0.0257055557","-1.0017938","-0.592930127"," 0.580451384"," 1.3487431"," 1.1569158"," 2.0809061"," 0.4575729"
"I092"," 11.342053"," 1.0598686","-0.4827104645"," 0.8333351"," 0.147797196"," 0.056604019"," 0.446723566","-0.0316971316","-0.3993129975"," 1.7768267"," 0.172568984"," 0.005980534","-1.7024237","-1.3462582","-2.3313552","-0.5439231"
"I535"," 10.856978"," 0.8871545","-0.1158938429"," 0.6014994"," 0.251835365","-0.130051169"," 0.408216402","-0.2692156033","-0.5337825082"," 1.4742867","-0.312270303","-0.046170709","-1.3527751","-1.0464006","-1.9327432","-0.3948128"
"I583"," 11.359467"," 1.0499816","-0.5991868094"," 0.6792514","-0.028853557"," 0.055920770"," 0.064602564","-0.2315850119","-0.8325686796"," 1.8399198","-0.464655723","-0.074893683","-1.5961996","-0.9327065","-1.8585124","-0.8537418"
"I603","-10.187677","-0.9281297"," 0.5564163936","-0.9307218","-0.284344537","-0.096831373","-0.212818347"," 0.1953213684"," 0.3547816871","-0.9433819","-0.032161053","-0.438045753"," 0.9848139"," 0.8749137"," 1.3824541"," 0.5551559"
"I592"," 10.940742"," 0.9329365","-0.2188184783"," 0.6925708"," 0.311300598"," 0.011532167"," 0.657488355","-0.2233916836","-0.2183951485"," 1.2497949"," 0.282903782"," 0.123030220","-1.3317791","-1.5762529","-2.2934382","-0.2066119"
"I365"," 11.470485"," 1.0470675","-0.5501033698"," 1.0523822"," 0.334864470"," 0.196973413"," 0.475624295"," 0.0466699124"," 0.0535938440"," 1.4784688"," 0.499327554"," 0.098170450","-1.5507458","-1.4911229","-2.4231452","-0.4634409"
"I212"," 10.827477"," 0.7263485","-0.3771936964"," 0.9217767"," 0.387703344"," 0.120377961"," 0.314129235","-0.2849736112","-0.2486552252"," 0.8991560","-0.270708151"," 0.050069613","-1.0087809","-0.8971813","-1.6479289","-0.7550496"
"I213"," -9.983908","-0.8285231"," 0.2211235978","-0.8149613"," 0.168100298","-0.157350161","-0.164478178","-0.1245509935","-0.0748414901","-0.9361238","-0.596713388"," 0.146094909"," 1.4518584"," 1.3323395"," 2.0945049"," 0.1869185"
"I465","-10.324639","-0.8000643"," 0.6714423448","-0.8046887","-0.393615356"," 0.035823066","-0.312039092"," 0.3285128011"," 0.4067363806","-1.0636796"," 0.205036453","-0.517664585"," 0.9943247"," 0.8649818"," 1.3626862"," 0.5887012"
"I570","-10.169016","-1.0435746"," 0.5265496087","-0.7280753"," 0.007168637","-0.316529409"," 0.160997988"," 0.1942006539"," 0.0201469436","-0.7777620","-0.727187989","-0.033230059"," 1.0771515"," 0.9285667"," 1.5211330"," 0.1822415"
"I441"," 11.142184"," 1.0174547","-0.2889640126"," 0.7004670"," 0.247513827"," 0.027583532"," 0.620191817","-0.1779184240","-0.2651486309"," 1.4760269"," 0.331081614"," 0.173998398","-1.4663695","-1.6520296","-2.3965436","-0.2167123"
"I222"," -9.997135","-0.9627432"," 0.0452435705","-0.8809796","-0.098534019","-0.044277916","-0.591254207","-0.0190767661"," 0.2886736240","-1.2033989"," 0.014686680"," 0.138877396"," 1.1568282"," 1.1373369"," 1.9218324"," 0.5513257"
"I312"," -9.972856","-1.1340043","-0.0327677284","-1.0758757"," 0.050023452","-0.369331277","-0.349041968","-0.0730311821"," 0.1123935369","-0.9525096","-0.478917124"," 0.414971841"," 1.1914210"," 1.0913934"," 1.8719869"," 0.4788896"
"I518","-10.295083","-0.5181039"," 0.9945056166","-0.8952924","-0.910331917"," 0.319735741","-0.261026036"," 0.5397067447"," 0.5792318373","-0.9448077"," 0.867283965","-0.963004433"," 0.8176897"," 0.8254622"," 0.9796605"," 0.6988341"
"I234","-10.466979","-0.5612249"," 0.7218320722","-0.7946220","-0.665374657"," 0.234670906","-0.563159020"," 0.4838049675"," 0.4409654961","-1.2036091"," 0.702746715","-0.505244790"," 1.0352832"," 0.9182107"," 1.3925727"," 0.6926933"
"I163","-10.186875","-1.0049169"," 0.1153860054","-0.7350022"," 0.006328341","-0.272112592","-0.292438456"," 0.1058064600","-0.0164273020","-1.0495457","-0.513645002"," 0.477349246"," 1.2793587"," 1.1358169"," 2.0284132"," 0.3097363"
"I053","-10.316484","-0.9728173"," 0.4094005726","-0.5639106","-0.031942914","-0.366745594"," 0.003754724"," 0.2800392585","-0.0660403400","-0.9346340","-0.672223521"," 0.221228437"," 1.2618489"," 0.9858817"," 1.9054617"," 0.2776466"
"I013"," 11.384251"," 0.9966510","-0.5553190078"," 0.6662328","-0.098508645"," 0.033420392"," 0.050072004","-0.1822987796","-0.7333065645"," 1.9857177","-0.228249696","-0.099087017","-1.7287757","-1.0594012","-1.9859308","-0.6993924"
"I600"," 10.649037"," 0.5802647","-0.0187400305"," 0.8694820"," 0.624778001","-0.100073916"," 0.347069299","-0.3668805497","-0.1968354404"," 0.9990800","-0.477113268"," 0.059708595","-0.9367459","-0.8096402","-1.7021235","-0.5576403"
"I544","-10.414023","-0.6836639"," 0.7474999636","-0.8516405","-0.454188960"," 0.155012096","-0.368615826"," 0.4013301908"," 0.3782162291","-1.1418545"," 0.422976423","-0.536731503"," 0.9227515"," 0.8403954"," 1.2639554"," 0.5372852"
"I496","-10.367271","-0.9428520"," 0.5424274977","-0.5490314","-0.021473185","-0.345226432"," 0.077038426"," 0.3377469385","-0.0723093031","-0.8818394","-0.701660928"," 0.073647109"," 1.2498928"," 0.9419584"," 1.7925969"," 0.2333722"
"I386","-10.232790","-1.1355121"," 0.1874815840","-0.8738627","-0.077371269","-0.171550750","-0.540243771"," 0.1425681212"," 0.2808305190","-1.0491387","-0.167942000"," 0.158138203"," 1.1523815"," 0.9762765"," 1.6242289"," 0.6151995"
"I176"," 11.273892"," 1.0718309","-0.3706308266"," 0.7859866"," 0.253449666"," 0.063677707"," 0.532429202","-0.1143922577","-0.1954261860"," 1.5554279"," 0.392454639"," 0.184144248","-1.5034383","-1.6315547","-2.4381793","-0.2115833"
"I184"," -9.771720","-0.6248000","-0.0024812688","-0.9928556","-0.092518654","-0.132925495","-0.458187078","-0.1624875749"," 0.0505124030","-1.1993136","-0.036759471"," 0.104857862"," 1.3715618"," 1.2927164"," 2.1783013"," 0.2785317"
"I589"," 10.253029"," 0.6651490","-0.1156407641"," 0.8154843"," 0.490494880"," 0.055685502"," 0.625914618","-0.2516363148","-0.1576865159"," 0.5671064","-0.381754160","-0.003474479","-0.8316769","-0.8092772","-1.4939322","-0.6525868"
"I249"," 11.385493"," 1.0223144","-0.5098958715"," 0.8260028"," 0.099737631"," 0.078180817"," 0.280851540","-0.1055104415","-0.4268945087"," 1.7912389"," 0.083673954","-0.033210545","-1.6862028","-1.2638588","-2.1944523","-0.6108119"
"I271"," 11.379910"," 0.9899427","-0.5453605903"," 0.6704554","-0.100632590"," 0.039537475"," 0.022071344","-0.1758954252","-0.7726493537"," 1.9977289","-0.264865020","-0.101268064","-1.7059854","-1.0356889","-1.9645719","-0.6902583"
"I173","-10.302743","-0.6030363"," 0.5467133017","-0.6885248","-0.717045097"," 0.238573026","-0.653752485"," 0.3707115432"," 0.4705494590","-1.2544763"," 0.721580401","-0.347630059"," 1.1360630"," 1.0709689"," 1.6671290"," 0.7627127"
"I324","-10.273080","-0.6230281"," 0.0234461755","-0.4847379","-0.542149167"," 0.080555174","-0.967013222"," 0.2353069782"," 0.2777666356","-1.4459213"," 0.574093996"," 0.373177622"," 1.3712485"," 1.1685110"," 2.3052669"," 0.7564252"
"I065"," 10.793813"," 0.7249181","-0.2039226511"," 1.1985653"," 0.590730112"," 0.214165728"," 1.004779670","-0.0281242384"," 0.3000325023"," 0.8042902"," 0.548987838"," 0.250553327","-1.1447049","-1.6486569","-2.3446792","-0.3972196"
"I260","-10.430696","-0.6859017"," 0.9715208833","-0.7821379","-0.591226922"," 0.086288436","-0.176054684"," 0.5319672369"," 0.4126393617","-0.9462972"," 0.390416244","-0.710831512"," 0.9225545"," 0.7555897"," 1.1012522"," 0.5796339"
"I536","-10.492661","-0.4855512"," 0.9665066283","-0.7506616","-0.835682956"," 0.382848851","-0.448369898"," 0.5318617646"," 0.5541987511","-1.1971167"," 0.908047427","-0.888404547"," 0.8874535"," 0.8887466"," 1.2176947"," 0.7665870"
"I533"," 11.245913"," 0.9812862","-0.3610072531"," 0.6875904"," 0.003686907","-0.003852389"," 0.139094071","-0.1701289237","-0.7395207707"," 1.8802764","-0.295370450","-0.130864274","-1.5547872","-1.0103062","-1.9893766","-0.5574257"
"I395"," -9.754730","-0.6223792","-0.0045306098","-1.0286916","-0.099020855","-0.100635728","-0.497148767","-0.1782522563"," 0.0722858275","-1.1959238"," 0.006371444"," 0.096819004"," 1.3819342"," 1.3126075"," 2.1645339"," 0.3029388"
"I170"," 11.338205"," 1.0492366","-0.4814284005"," 0.9166611"," 0.226759301"," 0.110345455"," 0.458438444","-0.0377165534","-0.2307265306"," 1.5999013"," 0.259200223"," 0.022766820","-1.6154657","-1.3963534","-2.2974676","-0.5636071"
"I044","-10.225856","-0.6039292"," 0.4460505204","-0.6854844","-0.713428715"," 0.243591456","-0.709843278"," 0.2868642928"," 0.5033933995","-1.2930990"," 0.729779287","-0.320873099"," 1.1269731"," 1.1070151"," 1.7705017"," 0.7652654"
"I372"," 10.795703"," 0.7864554","-0.2895530922"," 1.0353338"," 0.611102787"," 0.066284365"," 0.485300869","-0.1016200910"," 0.0672427983"," 0.9690161","-0.082316694"," 0.135978419","-1.0533012","-1.0319525","-1.9016722","-0.5304944"
"I444","-10.098787","-0.6380802","-0.0738009007","-0.5956026","-0.493582511"," 0.060051728","-0.899420876"," 0.0893272890"," 0.2533113232","-1.4043721"," 0.451746265"," 0.410633163"," 1.4368780"," 1.3412377"," 2.4158704"," 0.6728554"
"I114"," 10.463607"," 0.8365825","-0.2078730430"," 0.6290955"," 0.174875481"," 0.014600786"," 0.343017073","-0.2871826005","-0.5282283996"," 1.0558261","-0.631562490","-0.042102261","-1.1750957","-0.7716693","-1.3991310","-0.6452328"
"I310"," 11.129733"," 0.9749398","-0.5333471135"," 0.9587010"," 0.398312216"," 0.152983832"," 0.341320086","-0.1040286191","-0.0565061355"," 1.1377372"," 0.123509346"," 0.164718373","-1.2160962","-1.1973339","-2.0009192","-0.5347619"
"I493","-10.022921","-1.1904339"," 0.0475613408","-1.0017272"," 0.212562360","-0.407891214","-0.252257749","-0.0669056469"," 0.0422483500","-0.8937748","-0.703790824"," 0.372709183"," 1.2248516"," 1.0664461"," 1.8386107"," 0.3576785"
"I532"," 10.932572"," 0.6989696","-0.3319852893"," 0.9554382"," 0.371915240"," 0.120053150"," 0.416498233","-0.2757051723","-0.2200266733"," 1.0622897","-0.098646752"," 0.078739477","-1.0934643","-1.0700099","-1.8487980","-0.7112025"
"I390","-10.078727","-1.3089951","-0.1086658763","-0.6798947"," 0.123130906","-0.376913024","-0.421750679","-0.0562544540"," 0.1470838685","-1.0189616","-0.645489388"," 0.503468690"," 1.3117923"," 1.1054016"," 2.0562278"," 0.5534960"
"I067","-10.157599","-0.8977854"," 0.1913112970","-0.8218209"," 0.144117541","-0.333949368","-0.230178531"," 0.0155939367","-0.0763368273","-1.0017535","-0.637334707"," 0.158685070"," 1.3872710"," 1.1055151"," 2.0180401"," 0.2039085"
"I151","-10.216003","-1.1049395"," 0.2573380947","-0.6761057","-0.047355648","-0.396342315","-0.143505535"," 0.1358336772"," 0.0906202342","-0.9367147","-0.619352170"," 0.131167459"," 1.2743057"," 0.9636953"," 1.8493322"," 0.4192272"
"I538"," 10.398437"," 0.7273253","-0.3143705438"," 0.7529821"," 0.144486968"," 0.109764463"," 0.236044384","-0.3177722164","-0.5880198748"," 0.8223057","-0.807916705","-0.161707067","-1.0726126","-0.4655271","-1.1278929","-0.8864847"
"I516","-10.228266","-0.9980983"," 0.5435199834","-0.7221028"," 0.006290009","-0.294407050"," 0.086332274"," 0.2397415459"," 0.0000535923","-0.8004390","-0.672481609","-0.032329339"," 1.1534636"," 0.9390637"," 1.5860552"," 0.2193037"
"I136"," 11.211301"," 1.0330032","-0.4216832162"," 0.8213960"," 0.300718943"," 0.066382412"," 0.457575618","-0.1087528556","-0.1829402100"," 1.4413475"," 0.233822787"," 0.119824739","-1.4166441","-1.3944343","-2.2480157","-0.3589297"
"I321"," 11.324445"," 1.0433186","-0.3811942421"," 0.7913227"," 0.184054212"," 0.042459675"," 0.459920397","-0.1037744017","-0.3279834188"," 1.6982499"," 0.252758111"," 0.037291673","-1.5826788","-1.4667161","-2.3748482","-0.3583561"
"I229"," 10.971533"," 0.9384304","-0.2521590821"," 0.8651326"," 0.465892348"," 0.053726470"," 0.713441912","-0.1448890785"," 0.0018215857"," 1.1048393"," 0.344573732"," 0.167156635","-1.2741482","-1.5011691","-2.2844544","-0.2372338"
"I560","-10.093756","-0.8507674","-0.2078753780","-0.5875485","-0.317265179","-0.053514495","-0.889522691"," 0.0447461620"," 0.2139065928","-1.3640217"," 0.196407424"," 0.632346450"," 1.4297781"," 1.2950289"," 2.4248033"," 0.6906242"
"I572","-10.396763","-0.6980228"," 0.8453510002","-0.8009345","-0.540717408"," 0.107363779","-0.277095546"," 0.4430131056"," 0.4227634698","-1.0297189"," 0.389165884","-0.650639405"," 0.9537648"," 0.8256671"," 1.2311507"," 0.6049883"
"I077","-10.187434","-0.9221768"," 0.3031045811","-0.5738780","-0.152098335","-0.288453065","-0.155865308"," 0.1701771498"," 0.0491666936","-1.0159469","-0.441187811"," 0.189899229"," 1.3049127"," 1.0751873"," 2.0518363"," 0.4390717"
